hsa-lncRNA623	RP11-569A11.1
hsa-lncRNA16322-2	CTD-2233C11.2
hsa-lncRNA5604-1	CTA-384D8.33
hsa-lncRNA14794-3	LINC00659
hsa-lncRNA1372	RP11-324J3.1
hsa-lncRNA11536-2	RP11-13A1.1
hsa-lncRNA13894	AC012370.3
hsa-lncRNA15444	RP13-635I23.3
hsa-lncRNA11335-2	RP3-454B23.1
hsa-lncRNA372	RP11-313A24.1
hsa-lncRNA1261-6	RP11-245J24.1
hsa-lncRNA473-3	RP11-403I13.5
hsa-lncRNA11817-15	LINC00426
hsa-lncRNA16422	RP11-357D18.1
hsa-lncRNA9694	RP11-558F24.4
hsa-lncRNA8205-1	RP11-310H4.1
hsa-lncRNA15534	RP11-706D8.3
hsa-lncRNA15022	RP1-63G5.7
hsa-lncRNA6510-3	AC108056.1
hsa-lncRNA11477	RP11-123O10.3
hsa-lncRNA2745-1	RP11-361H10.3
hsa-lncRNA10370-3	RP4-781K5.6
hsa-lncRNA11822-3	LINC01066
hsa-lncRNA10402	AKT3-IT1
hsa-lncRNA1084	RP11-57G10.8
hsa-lncRNA2024	RP11-753N8.1
hsa-lncRNA14974-10	CTA-407F11.8
hsa-lncRNA768-2	RP4-781K5.7
hsa-lncRNA18280-4	CASC19
hsa-lncRNA5498-44	MIAT
hsa-lncRNA7374-4	RP11-1379J22.5
hsa-lncRNA10946	CTD-2516F10.4
hsa-lncRNA10110-4	RP11-404O13.1
hsa-lncRNA9987-3	RP4-586O15.1
hsa-lncRNA16621	GS1-39E22.1
hsa-lncRNA5084-1	RP11-103J8.1
hsa-lncRNA1258-2	RP11-328K15.1
hsa-lncRNA7314-1	CTB-114C7.3
hsa-lncRNA15995	RP11-203B7.2
hsa-lncRNA5683-10	AC018359.1
hsa-lncRNA5683-9	AC018359.1
hsa-lncRNA13794	AC104654.2
hsa-lncRNA9759	RP11-460I13.2
hsa-lncRNA11699-10	LINC00944
hsa-lncRNA8729	RP11-45K10.2
hsa-lncRNA14932-18	LINC00313
hsa-lncRNA11870-2	RP11-478K15.6
hsa-lncRNA11059-1	CTD-2210P24.3
hsa-lncRNA12632	RP11-236L14.1
hsa-lncRNA16320	CTD-2203K17.1
hsa-lncRNA15407-2	RP11-469L4.1
hsa-lncRNA6751-9	LINC01060
hsa-lncRNA2954-3	RP11-325N19.3
